Description,Price,Rating,Review,Size,Discount,Price Before Discount
DELL G15 Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Win...,"₹69,990",4.6,(8),"15.6 Inch, Phantom Grey, 2.4 kg, With MS Office",28% off,"₹98,294"
acer Predator Helios 300 Octa Core i7 10th Gen - (16 GB...,"₹99,990",4.5,(856),"15.6 inch, Black, 2.3 kg",33% off,"₹1,49,990"
ASUS VivoBook Ultra 17 Ryzen 5 Hexa Core - (8 GB/1 TB H...,"₹55,990",4.2,(37),"17.3 inch, Transparent Silver, 2.30 kg, With MS Office",25% off,"₹74,990"
ASUS ROG Strix G15 (2021) Advantage Edition Ryzen 9 Oct...,"₹1,54,990",4.6,(113),"15.6 inch, Original Black, 2.50 kg, With MS Office",25% off,"₹2,07,990"
RedmiBook 15 e-Learning Edition Core i3 11th Gen - (8 G...,"₹38,999",4.3,(243),"15.6 inch, Charcoal Gray, 1.8 kg, With MS Office",25% off,"₹51,999"
Lenovo IdeaPad 3 Ryzen 3 Dual Core 3250U - (8 GB/256 GB...,"₹36,990",4.3,(11),"15.6 inch, Platinum Grey, 1.85 kg, With MS Office",15% off,"₹43,990"
APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur)...,"₹83,990",4.7,"(3,484)","13.3 inch, Gold, 1.29 kg",9% off,"₹92,900"
Lenovo Thinkbook Convertible Core i7 11th Gen - (16 GB/...,"₹1,07,990",No rating available,No review available,"14 inch, Mineral Grey, 1.5 kg, With MS Office",1% off,"₹1,09,696"
DELL Inspiron Ryzen 5 Quad Core 3450U - (8 GB/256 GB SS...,"₹43,590",3.9,(33),"15.6 inch, Carbon, 1.85 kg, With MS Office",26% off,"₹59,211"
Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/512 GB SSD/Wi...,"₹49,990",4.2,(24),"15.6 Inch, Platinum Grey, 1.7 kg, With MS Office",22% off,"₹64,290"
Lenovo IdeaPad Core i3 10th Gen - (8 GB/256 GB SSD/Wind...,"₹35,990",4.2,(334),"14 Inch, Platinum Grey, 1.5 KG, With MS Office",31% off,"₹52,290"
HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹59,990",4.5,(112),"14 Inch, Natural Silver, 1.41 Kg, With MS Office",14% off,"₹69,999"
HP Pavilion Gaming Ryzen 7 Octa Core 4800H - (16 GB/1 T...,"₹77,990",4.4,(433),"15.6 inch, Shadow Black, 2.19 kg, With MS Office",16% off,"₹93,564"
HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Window...,"₹67,990",4.5,"(1,023)","14 inch, Natural Silver, 1.41 kg, With MS Office",11% off,"₹77,141"
DELL Vostro Core i5 11th Gen - (8 GB/512 GB SSD/Windows...,"₹58,990",3.9,(92),"14 inch, Dune, 1.58 kg, With MS Office",32% off,"₹87,168"
Lenovo Thinkbook Core i3 11th Gen - (8 GB/512 GB SSD/Wi...,"₹47,990",4.6,(7),"15 inch, Mineral Grey, 1.7 kg",34% off,"₹72,850"
Lenovo Legion 5 Core i5 10th Gen - (8 GB/512 GB SSD/Win...,"₹62,990",4.2,(55),"15.6 Inch, Phantom Black, 2.3 KG",32% off,"₹93,690"
Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/5...,"₹60,990",4.9,(13),"15.6 inch, Onyx Black, 2.2 kg",27% off,"₹83,890"
ASUS VivoBook Ultra 14 Core i3 10th Gen - (4 GB/512 GB ...,"₹37,990",4.4,"(3,107)","14 inch, Cobalt Blue, 1.40 kg",24% off,"₹49,990"
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 5900HS - (16 GB...,"₹1,41,990",4.2,(22),"15.6 inches, Moonlight White, 1.90 kg, With MS Office",25% off,"₹1,89,990"
